series_id,year,period,value,Population
PRS30006032,1995,Q01,0.0,
PRS30006032,1996,Q01,-4.2,
PRS30006032,1997,Q01,2.8,
PRS30006032,1998,Q01,0.9,
PRS30006032,1999,Q01,-4.1,
PRS30006032,2000,Q01,0.5,
PRS30006032,2001,Q01,-6.3,
PRS30006032,2002,Q01,-6.6,
PRS30006032,2003,Q01,-5.7,
PRS30006032,2004,Q01,2.0,
PRS30006032,2005,Q01,-0.5,
PRS30006032,2006,Q01,1.8,
PRS30006032,2007,Q01,-0.8,
PRS30006032,2008,Q01,-3.5,
PRS30006032,2009,Q01,-21.0,
PRS30006032,2010,Q01,3.2,
PRS30006032,2011,Q01,1.5,
PRS30006032,2012,Q01,2.5,
PRS30006032,2013,Q01,0.5,316128839.0
PRS30006032,2014,Q01,-0.1,318857056.0
PRS30006032,2015,Q01,-1.7,321418821.0
PRS30006032,2016,Q01,-1.4,323127515.0
PRS30006032,2017,Q01,0.9,325719178.0
PRS30006032,2018,Q01,0.5,327167439.0
PRS30006032,2019,Q01,-1.6,328239523.0
PRS30006032,2020,Q01,-7.0,
PRS30006032,2021,Q01,0.7,331893745.0
PRS30006032,2022,Q01,5.3,333287562.0
PRS30006032,2023,Q01,0.3,334914896.0
PRS30006032,2024,Q01,-0.7,
PRS30006032,2025,Q01,0.4,
